profile_index,failure_probability,raw_isolation_forest_score,calibrated_anomaly_score,risk_score,risk_band,final_recommended_action,confidence,confidence_level
1000,0.0,0.13677987160622912,0.28588749999999996,0.08576624999999999,Normal,Normal,0.714113,MEDIUM
1001,0.0,0.07773834360771331,0.77905,0.233715,Normal,Normal,0.22095,LOW
1002,0.0,0.13604423054753356,0.2985375,0.08956125,Normal,Normal,0.701462,MEDIUM
1003,0.995,0.12220110431315073,0.4776125,0.83978375,Restart Task,Restart Task,0.482612,LOW
1004,0.0,0.12962512002374477,0.38921249999999996,0.11676374999999999,Normal,Normal,0.610788,MEDIUM
1005,0.0,0.08297983972761497,0.7577125,0.22731374999999998,Normal,Normal,0.242287,LOW
1006,0.005,0.013945952770051062,0.9395125,0.28535374999999996,Normal,Normal,0.065488,LOW
1007,1.0,0.08394990326860946,0.753525,0.9260575,Restart Task,Restart Task,0.753525,MEDIUM
1008,0.0,0.08291037979330779,0.75805,0.22741499999999998,Normal,Normal,0.24195,LOW
1009,0.995,0.1300769711072146,0.38321249999999996,0.8114637499999999,Restart Task,Restart Task,0.388212,LOW
1010,0.0,0.1418035428104769,0.20255,0.060765,Normal,Normal,0.79745,MEDIUM
1011,0.0,0.1199670772726395,0.501325,0.1503975,Normal,Normal,0.498675,LOW
1012,0.025,0.11868730594352689,0.5137,0.17160999999999998,Normal,Normal,0.5113,LOW
1013,0.0,0.11898555844607689,0.51065,0.153195,Normal,Normal,0.48935,LOW
1014,1.0,-0.004440141928624519,0.9526,0.9857799999999999,Restart Task,Restart Task,0.9526,HIGH
1015,0.0,0.11699684248493641,0.5318875000000001,0.15956625000000002,Normal,Normal,0.468112,LOW
1016,1.0,0.14738056260834898,0.10258750000000005,0.73077625,Restart Task,Restart Task,0.102588,LOW
1017,0.0,0.08608629798260026,0.744,0.22319999999999998,Normal,Normal,0.256,LOW
1018,0.01,-0.03810980232502337,0.9693125,0.29779375,Normal,Normal,0.040687,LOW
1019,0.0,0.08817221337876935,0.732475,0.21974249999999998,Normal,Normal,0.267525,LOW
1020,1.0,0.05354055510510425,0.8671875,0.9601562499999999,Restart Task,Restart Task,0.867188,HIGH
1021,0.0,0.12177966476611757,0.48201249999999995,0.14460374999999998,Normal,Normal,0.517988,LOW
1022,0.005,0.11682038073103962,0.5335624999999999,0.16356874999999998,Normal,Normal,0.471438,LOW
1023,0.995,0.1052427435114121,0.62995,0.885485,Restart Task,Restart Task,0.63495,MEDIUM
1024,1.0,0.12019160555259428,0.49901249999999997,0.84970375,Restart Task,Restart Task,0.499012,LOW
1025,0.0,-0.06833507596728039,0.982375,0.2947125,Normal,Normal,0.017625,LOW
1026,0.0,0.12301881756718275,0.46865,0.140595,Normal,Normal,0.53135,LOW
1027,0.0,-0.013130083117738667,0.9582125,0.28746375,Normal,Normal,0.041787,LOW
1028,0.0,0.1402285522837448,0.2290375,0.06871125,Normal,Normal,0.770962,MEDIUM
1029,0.0,0.06197718315745898,0.8406375,0.25219125,Normal,Normal,0.159362,LOW
1030,0.0,0.14444124606793945,0.15261250000000004,0.04578375000000001,Normal,Normal,0.847387,HIGH
1031,0.0,0.12292741120525141,0.46957499999999996,0.14087249999999998,Normal,Normal,0.530425,LOW
1032,1.0,0.09133863036542117,0.717375,0.9152125,Restart Task,Restart Task,0.717375,MEDIUM
1033,0.0,0.07005990954326019,0.810175,0.24305249999999998,Normal,Normal,0.189825,LOW
1034,0.995,0.10233720369012062,0.6496500000000001,0.891395,Restart Task,Restart Task,0.65465,MEDIUM
